start_time,context,duration_minutes
2024-11-25 00:00:00,sleep,41
2024-11-25 00:41:00,sleep,56
2024-11-25 01:37:00,sleep,69
2024-11-25 02:46:00,sleep,39
2024-11-25 03:25:00,sleep,69
2024-11-25 04:34:00,sleep,78
2024-11-25 05:52:00,sleep,50
2024-11-25 06:42:00,sleep_transition,12
2024-11-25 06:54:00,sleep_transition,20
2024-11-25 07:14:00,resting_awake,31
2024-11-25 07:45:00,active_high,44
2024-11-25 08:29:00,post_meal,42
2024-11-25 09:11:00,active_low,16
2024-11-25 09:27:00,stress_event,22
2024-11-25 09:49:00,active_low,29
2024-11-25 10:18:00,resting_awake,76
2024-11-25 11:34:00,resting_awake,85
2024-11-25 12:59:00,post_meal,57
2024-11-25 13:56:00,post_meal,53
2024-11-25 14:49:00,resting_awake,78
2024-11-25 16:07:00,resting_awake,66
2024-11-25 17:13:00,active_high,56
2024-11-25 18:09:00,resting_awake,28
2024-11-25 18:37:00,post_exercise,17
2024-11-25 18:54:00,post_exercise,16
2024-11-25 19:10:00,post_meal,83
2024-11-25 20:33:00,post_meal,101
2024-11-25 22:14:00,resting_awake,49
2024-11-25 23:03:00,sleep,35
2024-11-25 23:38:00,sleep,84
2024-11-26 01:02:00,sleep,31
2024-11-26 01:33:00,sleep,71
2024-11-26 02:44:00,sleep,58
2024-11-26 03:42:00,sleep,64
2024-11-26 04:46:00,sleep,41
2024-11-26 05:27:00,sleep,87
2024-11-26 06:54:00,sleep_transition,11
2024-11-26 07:05:00,resting_awake,37
2024-11-26 07:42:00,resting_awake,37
2024-11-26 08:19:00,post_meal,39
2024-11-26 08:58:00,post_meal,50
2024-11-26 09:48:00,stress_event,29
2024-11-26 10:17:00,resting_awake,39
2024-11-26 10:56:00,resting_awake,86
2024-11-26 12:22:00,post_meal,86
2024-11-26 13:48:00,post_meal,66
2024-11-26 14:54:00,resting_awake,70
2024-11-26 16:04:00,resting_awake,87
2024-11-26 17:31:00,active_low,29
2024-11-26 18:00:00,post_exercise,16
2024-11-26 18:16:00,resting_awake,28
2024-11-26 18:44:00,post_exercise,20
2024-11-26 19:04:00,post_meal,66
2024-11-26 20:10:00,post_meal,81
2024-11-26 21:31:00,resting_awake,55
2024-11-26 22:26:00,resting_awake,48
2024-11-26 23:14:00,sleep,86
2024-11-27 00:40:00,sleep,68
2024-11-27 01:48:00,sleep,82
2024-11-27 03:10:00,sleep,68
2024-11-27 04:18:00,sleep,69
2024-11-27 05:27:00,sleep,33
2024-11-27 06:00:00,sleep_transition,19
2024-11-27 06:19:00,sleep_transition,17
2024-11-27 06:36:00,sleep_transition,22
2024-11-27 06:58:00,sleep_transition,24
2024-11-27 07:22:00,resting_awake,24
2024-11-27 07:46:00,resting_awake,32
2024-11-27 08:18:00,post_meal,33
2024-11-27 08:51:00,post_meal,53
2024-11-27 09:44:00,resting_awake,63
2024-11-27 10:47:00,resting_awake,49
2024-11-27 11:36:00,resting_awake,82
2024-11-27 12:58:00,post_meal,58
2024-11-27 13:56:00,post_meal,54
2024-11-27 14:50:00,stress_event,29
2024-11-27 15:19:00,active_low,21
2024-11-27 15:40:00,stress_event,18
2024-11-27 15:58:00,resting_awake,76
2024-11-27 17:14:00,active_high,49
2024-11-27 18:03:00,resting_awake,22
2024-11-27 18:25:00,resting_awake,25
2024-11-27 18:50:00,resting_awake,28
2024-11-27 19:18:00,post_meal,99
2024-11-27 20:57:00,post_meal,116
2024-11-27 22:53:00,resting_awake,54
2024-11-27 23:47:00,sleep,85
2024-11-28 01:12:00,sleep,38
2024-11-28 01:50:00,sleep,45
2024-11-28 02:35:00,sleep,67
